internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11481,Lemmus lemmus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Lemmus,lemmus,,,,,"(Linnaeus, 1758)",
11797,Lepus castroviejoi,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Lepus,castroviejoi,,,,,"Palacios, 1977","<em>Lepus castroviejoi</em> was described relatively recently, being separated  from <em>L. granatensis</em>, a split supported by genetic evidence. While the  range of <em>L. castroviejoi</em> partially overlaps that of <em>L. granatensis</em> and  <em>L. europaeus</em> on the Iberian Peninsula, no hybridization has been  detected with these forms. Recent studies have shown that instead, based  on ecological, molecular and morphological characteristics, it is most  closely related to <em>L. corsicanus</em>; some believe these two are conspecific  (Alves <em>et al.</em> 2008, Acevedo <em>et al.</em> 2014, Ballesteros  2018). Additionally, two different occurrences of introgression of mtDNA  from <em>L. timidus</em> into <em>L. castroviejoi</em> have been documented – indicating  that these two forms have come into contact and hybridized two different  times in the past, most recently during the last deglaciation  (Melo-Ferreira <em>et al.</em> 2005, 2012; Ballesteros 2018). No  subspecies or geographic variation in <em>L. castroviejoi</em> have been  described (Flux and Angermann 1990, Hoffmann and Smith 2005, Ballesteros  2018)."
12835,Marmota marmota,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,marmota,,,,,"(Linnaeus, 1758)",
13462,Microtus felteni,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,felteni,,,,,"Malec &amp; Storch, 1963","Formerly considered a subspecies of <em>Microtus savii</em>, but now regarded as a separate species (Wilson and Reeder 2005)."
13486,Microtus thomasi,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,thomasi,,,,,"(Barrett-Hamilton, 1903)","Sometimes considered as a subspecies of <em>Microtus duodecimcostatus</em>, but its specific status has been reconfirmed by analysis of karyotype, molecular genetics and molar pattern (Kryštufek 1999, Jaarola <em>et al.</em> 2004). A chromosomally polymorphic species; relationships are unknown (Wilson and Reeder 2005). It should be noted that two Greek regions, Evvoia Island and Attica Pref., hold isolated vole populations which were originally considered part of the <em>M. thomasi</em> distribution. Because of their genetic, karyological and morphological differentiation; they were grouped into a distinct subspecies, namely <em>M. thomasi atticus</em>. Laboratory crosses among wild caught “<em>atticus</em>” and “<em>thomasi</em>” individuals failed to produce viable and fertile hybrids. This is strong evidence suggesting that there are two sister-species,&#160;<em>M. thomasi</em> and <em>M. atticus</em>. <em>M. atticus</em> would represent a Greek endemic and a new mammal species for Europe but has not been formally described yet."
13490,Microtus multiplex,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,multiplex,,,,,"(Fatio, 1905)","Eastern populations are now considered as a separate species, <i>M. liechtensteini</i> (Wilson and Reeder 2005)."
13491,Microtus savii,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,savii,,,,,"(de Sélys-Longchamps, 1838)",
13493,Microtus duodecimcostatus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,duodecimcostatus,,,,,"(de Selys-Longchamps, 1839)",
13494,Microtus lusitanicus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,lusitanicus,,,,,"(Gerbe, 1879)",
136498,Microtus liechtensteini,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,liechtensteini,,,,,"(Wettstein, 1927)","<em>Microtus liechtensteini</em>&#160;is part of&#160;<em>Microtus multiplex</em>&#160;species-complex. Its formerly continuous range in the Alps was split into three parts during the last glaciation which led to the evolution of three species:&#160;<em>Microtus liechtensteini&#160;</em>(south of the Alps east of the river Adige and Balkan mountains),&#160;<em>Microtus multiplex</em>&#160;(south of the Alps west of the river Adige), and&#160;<em>M. bavaricus&#160;</em>(north of the Alps in a small refuge in Bavaria and Northern Tyrol) (Haring&#160;<em>et al.</em>&#160;2000, Spitzenberger&#160;<em>et al.&#160;</em>2000, Spitzenberger 2002, Musser and Carleton 2005, Martinkova&#160;<em>et al.&#160;</em>2007)."
136536,Microtus brachycercus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,brachycercus,,,,,"(von Lehmann, 1961)","Originally considered as a subspecies of <em>M. savii</em>, this species was elevated to species based on differences in sex chromosomes (Galleni <em>et al.</em> 1994) and by genetic and morphological-morphometric data (Bezerra <em>et al.</em> 2016)."
136680,Myotis alcathoe,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Myotis,alcathoe,,,,,"von Helversen &amp; Heller, 2001","Formerly included in <em>Myotis mystacinus</em> (Kuhl, 1817); the species was differentiated (von Helversen <em>et al.</em> 2001) on the base of karyological, genetic and echolocation characters."
136816,Apodemus epimelas,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apodemus,epimelas,,,,,"(Nehring, 1902)",<em>A. mystacinus</em> has been split into two separate species: <em>A. mystacinus</em> and <em>A. epimelas</em> (Wilson and Reeder 2005).
13984,Mus spicilegus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mus,spicilegus,,,,,"Petényi, 1882",
15602,Euryoryzomys lamia,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euryoryzomys,lamia,,,,,"(Thomas, 1901)",
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,,,,,"(Gray, 1844)",<p>The taxonomy of sea lions in New Zealand (<em>Phocarctos</em>) and Australia (<em>Neophoca</em>) was confused until it was resolved in a paper by King (1960).<br/></p>
18338,Prolagus sardus,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,PROLAGIDAE,Prolagus,sardus,,,,,"(Wagner, 1832)",
1907,Apodemus alpicola,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apodemus,alpicola,,,,,"Heinrich, 1952",
20192,Sicista severtzovi,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SMINTHIDAE,Sicista,severtzovi,,,,,"Ognev, 1935","Formerly considered as a subspecies of <i>Sicista subtilis</i>, but now recognized as a separate species primarily on the basis of karyotype (Wilson and Reeder 2005 and references therein)."
20411,Sorex samniticus,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sorex,samniticus,,,,,"Altobello, 1926","Formerly included in <em>S. araneus</em>, but now recognised as a distinct species (Wilson and Reeder 2005)."
20429,Spalax giganteus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SPALACIDAE,Spalax,giganteus,,,,,"Nehring, 1897",
20430,Spalax microphthalmus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SPALACIDAE,Spalax,microphthalmus,,,,,"Guldenstaedt, 1770",
269,Acomys minous,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,minous,,,,,"Bate, 1906","<em>Acomys minous</em> is a poorly defined species. Likely to be part of <em>Acomys cahirinus</em> but currently recognized as valid (see Barome <em>et al.</em> 2001, and Musser and Carleton 2005 for discussion). Studies by Frynta <em>et al. </em>(2010) and Giagia-Athanasopoulou <em>et al. </em>(2011) also support that this is a subspecies of <em>A. cahirinus</em>."
271,Acomys nesiotes,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,nesiotes,,,,,"Bate, 1903","<em>Acomys nesiotes</em> is a poorly defined species. Likely to be part of <em>Acomys cahirinus</em> but currently recognized as valid (see Barome <em>et al.</em> 2001, and Musser and Carleton 2005 for discussion). Studies by Frynta <em>et al. </em>(2010) and Giagia-Athanasopoulou <em>et al. </em>(2011) also support that this is a subspecies of <em>A. cahirinus</em>."
29650,Erinaceus europaeus,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Erinaceus,europaeus,,,,,"Linnaeus, 1758",
29655,Crocidura sicula,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,sicula,,,,,"Miller, 1900",
29663,Sorex coronatus,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sorex,coronatus,,,,,"Millet, 1828",
29664,Sorex granarius,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Sorex,granarius,,,,,"Miller, 1910",
39315,Microtus gerbii,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,gerbii,,,,,"(Gerbe, 1879)","Some authors consider <i>Microtus pyrenaicus</i> a synonym of <i>Microtus gerbei</i>, although there is debate about which name is appropriate (Musser and Carleton 2005)."
41305,Lepus corsicanus,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Lepus,corsicanus,,,,,"de Winton, 1898","<em>Lepus corsicanus</em>, based on current knowledge, is an endemic species of central-southern Italy and Sicily (Amori <em>et al</em>. 1996, 1999; Angelici 1998, 1999), and it was introduced in Corsica in historical times (Vigne 1992)."
41306,Lepus granatensis,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Lepus,granatensis,,,,,"Rosenhauer, 1856","The Iberian hare was historically classified as a variety of the Cape hare, <em>Lepus capensis</em>, under subspecies <em>L. c. granatensis</em> (Chapman and Flux 1990), but morphological analyses confirmed the validity of the specific status of the Iberian hare, and the distinction from the Cape hare (Palacios 1983). When compared to the other hare species inhabiting the Iberian Peninsula, the interspecific morphological differences also allow their distinction (Palacios 1983).<em><br/></em><span class=""Heading2Char""><span class=""datalabel1""><span class=""datalabel1""><span class=""Heading2Char""><span class=""datalabel1""><span class=""datalabel1""></span></span></span>"
41479,Talpa caeca,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Talpa,caeca,,,,,"Savi, 1822",
41483,Talpa occidentalis,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Talpa,occidentalis,,,,,"Cabrera, 1907",
41484,Talpa romana,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Talpa,romana,,,,,"O. Thomas, 1902",
41485,Talpa stankovici,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,TALPIDAE,Talpa,stankovici,,,,,"V. Martino &amp; E. Martino, 1931",
5560,Crocidura canariensis,ANIMALIA,CHORDATA,MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,canariensis,,,,,"Hutterer, López-Jurado, &amp; Vogel, 1987","It has been argued, on the basis of mandibular measurements, that <em>Crocidura canariensis</em> should be treated as a subspecies of <em>C. sicula</em> (Sarà 1996). However, other morphological, ecological, palaeontological and molecular evidence supports specific status (Michaux <em>et al.</em> 1991, Hutterer <em>et al.</em> 1992). Genetic distances suggest that <em>C. canariensis </em>and <em>C. sicula</em> diverged approximately five million years ago (Vogel <em>et al</em>. 2003), and both share karyotype with <em>C. tarfayaensis</em> (Vogel <em>et al</em>. 2006)."
12948,Megaerops wetmorei,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Megaerops,wetmorei,,,,,"Taylor, 1934","The current taxonomy is probably incorrect, with Philippine populations referred to <i>M. wetmorei</i> suspected to represent a separate species (L. Heaney pers. comm. 2006)."
